,news,link
0,Hatay'da 5.1 büyüklüğünde artçı deprem,news.google.com/./articles/CBMiWWh0dHBzOi8vd3d3LmhhYmVydHVyay5jb20vc29uLWRha2lrYS1oYWJlcmktaGF0YXktZGEtNTEtYnV5dWtsdWd1bmRlLWFydGNpLWRlcHJlbS0zNTY2MzEx0gFbaHR0cHM6Ly9tLmhhYmVydHVyay5jb20vc29uLWRha2lrYS1oYWJlcmktaGF0YXktZGEtNTEtYnV5dWtsdWd1bmRlLWFydGNpLWRlcHJlbS0zNTY2MzExLWFtcA?hl=tr&gl=TR&ceid=TR%3Atr
1,"SON DAKİKA: Hatay'da 5,1 büyüklüğünde deprem | Son depremler",news.google.com/./articles/CBMibmh0dHBzOi8vd3d3Lm50di5jb20udHIvdHVya2l5ZS9zb24tZGFraWthLWhhdGF5ZGEtNS0xLWJ1eXVrbHVndW5kZS1kZXByZW0tc29uLWRlcHJlbWxlcixLcFRmekFqR29VMmduMkZYako0U2lR0gFyaHR0cHM6Ly93d3cubnR2LmNvbS50ci9hbXAvdHVya2l5ZS9zb24tZGFraWthLWhhdGF5ZGEtNS0xLWJ1eXVrbHVndW5kZS1kZXByZW0tc29uLWRlcHJlbWxlcixLcFRmekFqR29VMmduMkZYako0U2lR?hl=tr&gl=TR&ceid=TR%3Atr
2,Son dakika: Hatay'ın Arsuz ilçesinde 5.1 büyüklüğünde artçı deprem meydana geldi,news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3LnNvbmRha2lrYS5jb20vaGFiZXIvaGFiZXItc29uLWRha2lrYS1oYXRheS1pbi1hcnN1ei1pbGNlc2luZGUtNS0xLTE1NjQwNDg3L9IBVWh0dHBzOi8vd3d3LnNvbmRha2lrYS5jb20vYW1wL2hhYmVyLXNvbi1kYWtpa2EtaGF0YXktaW4tYXJzdXotaWxjZXNpbmRlLTUtMS0xNTY0MDQ4Ny8?hl=tr&gl=TR&ceid=TR%3Atr
3,SON DAKİKA HABERİ: Deprem sonrası hasar tespit çalışması: 56 bin 80 bina yıkık ve ağır hasarlı,news.google.com/./articles/CBMikgFodHRwczovL3d3dy5udHYuY29tLnRyL3R1cmtpeWUvc29uLWRha2lrYS1oYWJlcmktZGVwcmVtLXNvbnJhc2ktaGFzYXItdGVzcGl0LWNhbGlzbWFzaS01Ni1iaW4tODAtYmluYS15aWtpay12ZS1hZ2lyLWhhc2FybGksU3hLQjRaemJfVWFOcWV3Tm1TMnN0QdIBlgFodHRwczovL3d3dy5udHYuY29tLnRyL2FtcC90dXJraXllL3Nvbi1kYWtpa2EtaGFiZXJpLWRlcHJlbS1zb25yYXNpLWhhc2FyLXRlc3BpdC1jYWxpc21hc2ktNTYtYmluLTgwLWJpbmEteWlraWstdmUtYWdpci1oYXNhcmxpLFN4S0I0WnpiX1VhTnFld05tUzJzdEE?hl=tr&gl=TR&ceid=TR%3Atr
4,"Bakan Kurum’dan deprem açıklaması: Yıkık, acil yıkılacak ve ağır hasarlı bina sayısı belli o",news.google.com/./articles/CBMiigFodHRwczovL3d3dy5zb3pjdS5jb20udHIvMjAyMy9ndW5kZW0vYmFrYW4ta3VydW1kYW4tZGVwcmVtLWFjaWtsYW1hc2kteWlraWstYWNpbC15aWtpbGFjYWstdmUtYWdpci1oYXNhcmxpLWJpbmEtc2F5aXNpLWJlbGxpLW9sZHUtNzU5NDAzMy_SAY4BaHR0cHM6Ly93d3cuc296Y3UuY29tLnRyLzIwMjMvZ3VuZGVtL2Jha2FuLWt1cnVtZGFuLWRlcHJlbS1hY2lrbGFtYXNpLXlpa2lrLWFjaWwteWlraWxhY2FrLXZlLWFnaXItaGFzYXJsaS1iaW5hLXNheWlzaS1iZWxsaS1vbGR1LTc1OTQwMzMvYW1wLw?hl=tr&gl=TR&ceid=TR%3Atr
5,Son dakika haberi: İşte deprem bölgesinde acil yıkılması gereken bina sayısı!,news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LmhhYmVydHVyay5jb20vc29uLWRha2lrYS1oYWJlcmxlcmktaXN0ZS1kZXByZW0tYm9sZ2VzaW5kZS1hY2lsLXlpa2lsbWFzaS1nZXJla2VuLWJpbmEtc2F5aXNpLTM1NjYwNzLSAXJodHRwczovL20uaGFiZXJ0dXJrLmNvbS9zb24tZGFraWthLWhhYmVybGVyaS1pc3RlLWRlcHJlbS1ib2xnZXNpbmRlLWFjaWwteWlraWxtYXNpLWdlcmVrZW4tYmluYS1zYXlpc2ktMzU2NjA3Mi1hbXA?hl=tr&gl=TR&ceid=TR%3Atr
6,"SON DAKİKA DEPREM || 16 Şubat az önce deprem mi oldu, nerede deprem oldu? Kandilli/AFAD son depremler",news.google.com/./articles/CBMilgFodHRwczovL3d3dy5taWxsaXlldC5jb20udHIvZ2FsZXJpL2RlcHJlbS1rYW5kaWxsaS1zb24tZGFraWthLTIwMjMtYXotb25jZS1kZXByZW0tbWktb2xkdS1uZXJlZGUtZGVwcmVtLW9sZHUta2FuZGlsbGktYWZhZC1zb24tZGVwcmVtbGVyLWFubGlrLTY5MDQ0NjnSAZoBaHR0cHM6Ly93d3cubWlsbGl5ZXQuY29tLnRyL2FtcC9nYWxlcmkvZGVwcmVtLWthbmRpbGxpLXNvbi1kYWtpa2EtMjAyMy1hei1vbmNlLWRlcHJlbS1taS1vbGR1LW5lcmVkZS1kZXByZW0tb2xkdS1rYW5kaWxsaS1hZmFkLXNvbi1kZXByZW1sZXItYW5saWstNjkwNDQ2OQ?hl=tr&gl=TR&ceid=TR%3Atr
7,"SON DEPREMLER | Bugünkü AFAD-Kandilli Rasathanesi son dakika deprem listesi ile az önce deprem mi oldu, en...",news.google.com/./articles/CBMiugFodHRwczovL3d3dy5oYWJlcnR1cmsuY29tL3Nvbi1kZXByZW1sZXItZ3VuY2VsLTE2LXN1YmF0LTIwMjMtYWZhZC1rYW5kaWxsaS1yYXNhdGhhbmVzaS1zb24tZGFraWthLWRlcHJlbS1saXN0ZXNpLWlsZS1hei1vbmNlLWRlcHJlbS1taS1vbGR1LW5lcmVkZS12ZS1rYWMtYnV5dWtsdWd1bmRlLWRlcHJlbS1vbGR1LTM1NjYxMzHSAbwBaHR0cHM6Ly9tLmhhYmVydHVyay5jb20vc29uLWRlcHJlbWxlci1ndW5jZWwtMTYtc3ViYXQtMjAyMy1hZmFkLWthbmRpbGxpLXJhc2F0aGFuZXNpLXNvbi1kYWtpa2EtZGVwcmVtLWxpc3Rlc2ktaWxlLWF6LW9uY2UtZGVwcmVtLW1pLW9sZHUtbmVyZWRlLXZlLWthYy1idXl1a2x1Z3VuZGUtZGVwcmVtLW9sZHUtMzU2NjEzMS1hbXA?hl=tr&gl=TR&ceid=TR%3Atr
8,"SON DAKİKA: Hatay deprem ile sallandı! Mersin, Antalya ve Adana’da da hissedildi! 16 Şubat AFAD ve Kandilli son depremler listesi",news.google.com/./articles/CBMisQFodHRwczovL3d3dy5zYWJhaC5jb20udHIvZ2FsZXJpL3lhc2FtL3Nvbi1kYWtpa2EtaGF0YXlkYS1kZXByZW0ta2FuZGlsbGktZHV5dXJkdS1oYXRheWRhLWRlcHJlbS1taS1vbGR1LW5lcmVkZS1rYWMtYnV5dWtsdWd1bmRlLTE2LXN1YmF0LTIwMjMtYWZhZC1rYW5kaWxsaS1zb24tZGVwcmVtbGVyLWxpc3Rlc2nSAbMBaHR0cHM6Ly9tLnNhYmFoLmNvbS50ci9nYWxlcmkveWFzYW0vc29uLWRha2lrYS1oYXRheWRhLWRlcHJlbS1rYW5kaWxsaS1kdXl1cmR1LWhhdGF5ZGEtZGVwcmVtLW1pLW9sZHUtbmVyZWRlLWthYy1idXl1a2x1Z3VuZGUtMTYtc3ViYXQtMjAyMy1hZmFkLWthbmRpbGxpLXNvbi1kZXByZW1sZXItbGlzdGVzaS9hbXA?hl=tr&gl=TR&ceid=TR%3Atr
9,Malatya'da 4.7 büyüklüğünde deprem (Son depremler) - Son dakika haberleri – Sözcü,news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci8yMDIzL2d1bmRlbS9tYWxhdHlhZGEtNC03LWJ1eXVrbHVndW5kZS1kZXByZW0tc29uLWRlcHJlbWxlci03NTkzOTczL9IBAA?hl=tr&gl=TR&ceid=TR%3Atr
10,Son dakika! Malatya'da 4.7 büyüklüğünde deprem,news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3Lmh1cnJpeWV0LmNvbS50ci9ndW5kZW0vc29uLWRha2lrYS1tYWxhdHlhZGEtNC03LWJ1eXVrbHVndW5kZS1kZXByZW0tNDIyMjA5NjXSAVxodHRwczovL3d3dy5odXJyaXlldC5jb20udHIvYW1wL2d1bmRlbS9zb24tZGFraWthLW1hbGF0eWFkYS00LTctYnV5dWtsdWd1bmRlLWRlcHJlbS00MjIyMDk2NQ?hl=tr&gl=TR&ceid=TR%3Atr
11,Malatya'da deprem,news.google.com/./articles/CBMiN2h0dHBzOi8vaGFsa3R2LmNvbS50ci9ndW5kZW0vbWFsYXR5YWRhLWRlcHJlbS01LTcxOTQ5OGjSAQA?hl=tr&gl=TR&ceid=TR%3Atr
12,"10 BİN TL DEPREM YARDIMI NASIL alınır 2023, başvuru nasıl yapılır? || 10 bin lira deprem yardımı kimlere verilecek? 10 bin TL yardım parası ne zaman yatacak?",news.google.com/./articles/CBMizAFodHRwczovL3d3dy5taWxsaXlldC5jb20udHIvZ2FsZXJpLzEwLWJpbi10bC1kZXByZW0teWFyZGltaS1uYXNpbC1hbGluaXItbmUtemFtYW4teWF0YWNhay0xMC1iaW4tdGwtZGVwcmVtLXlhcmRpbWkta2ltbGVyZS12ZXJpbGVjZWstZGVwcmVtemVkZWxlci0xMC1iaW4tdGwtZGVwcmVtLXlhcmRpbS1iYXN2dXJ1c3VudS1uYXNpbC15YXBhY2FrLTY5MDM0MDHSAdABaHR0cHM6Ly93d3cubWlsbGl5ZXQuY29tLnRyL2FtcC9nYWxlcmkvMTAtYmluLXRsLWRlcHJlbS15YXJkaW1pLW5hc2lsLWFsaW5pci1uZS16YW1hbi15YXRhY2FrLTEwLWJpbi10bC1kZXByZW0teWFyZGltaS1raW1sZXJlLXZlcmlsZWNlay1kZXByZW16ZWRlbGVyLTEwLWJpbi10bC1kZXByZW0teWFyZGltLWJhc3Z1cnVzdW51LW5hc2lsLXlhcGFjYWstNjkwMzQwMQ?hl=tr&gl=TR&ceid=TR%3Atr
13,SON DAKİKA: 10 bin TL yardım ödemeleri başladı! AFAD 10.000 TL destek kimlere verilecek? e-Devlet başvurusu olacak mı? - Son Dakika 10 Bin TL Yardım Başvuru e-Devlet Haberleri,news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LnNhYmFoLmNvbS50ci9nYWxlcmkvZWtvbm9taS9zb24tZGFraWthLWFmYWQtYWNpa2xhZGktMTAtYmluLXRsLWRlcHJlbS15YXJkaW1pLW9kZW1lbGVyaS1iYXNsYWRp0gFtaHR0cHM6Ly9tLnNhYmFoLmNvbS50ci9nYWxlcmkvZWtvbm9taS9zb24tZGFraWthLWFmYWQtYWNpa2xhZGktMTAtYmluLXRsLWRlcHJlbS15YXJkaW1pLW9kZW1lbGVyaS1iYXNsYWRpL2FtcA?hl=tr&gl=TR&ceid=TR%3Atr
14,10 bin TL deprem yardımı başladı! Kısa çalışma ödeneği için Cumhurbaşkanlığı kararı bekleniyor! 4 bin liraya kadar...,news.google.com/./articles/CBMifWh0dHBzOi8vZmluYW5zLm15bmV0LmNvbS9oYWJlci9kZXRheS9la29ub21pL3Nvbi1kYWtpa2EtZXJkb2dhbi1kdXl1cm11c3R1LTEwLWJpbi10bC1kZXByZW0teWFyZGltaS1vZGVtZWxlcmktYmFzbGFkaS80NjEwMTkv0gFwaHR0cHM6Ly93d3cubXluZXQuY29tL2FtcC9zb24tZGFraWthLWVyZG9nYW4tZHV5dXJtdXN0dS0xMC1iaW4tdGwtZGVwcmVtLXlhcmRpbWktb2RlbWVsZXJpLWJhc2xhZGktZmluYW5zLTQ2MTAxOQ?hl=tr&gl=TR&ceid=TR%3Atr
15,Hatay açıklarında 5.1 büyüklüğünde deprem (Son depremler),news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci8yMDIzL2d1bmRlbS9oYXRheS1hY2lrbGFyaW5kYS01LTEtYnV5dWtsdWd1bmRlLWRlcHJlbS1zb24tZGVwcmVtbGVyLTc1OTQyMjIv0gFpaHR0cHM6Ly93d3cuc296Y3UuY29tLnRyLzIwMjMvZ3VuZGVtL2hhdGF5LWFjaWtsYXJpbmRhLTUtMS1idXl1a2x1Z3VuZGUtZGVwcmVtLXNvbi1kZXByZW1sZXItNzU5NDIyMi9hbXAv?hl=tr&gl=TR&ceid=TR%3Atr
16,Arsuz açıklarında deprem: 5.1,news.google.com/./articles/CBMiSGh0dHBzOi8vd3d3LmdhemV0ZWR1dmFyLmNvbS50ci9hcnN1ei1hY2lrbGFyaW5kYS1kZXByZW0tNTEtaGFiZXItMTYwNDA2NtIBTGh0dHBzOi8vd3d3LmdhemV0ZWR1dmFyLmNvbS50ci9hbXAvYXJzdXotYWNpa2xhcmluZGEtZGVwcmVtLTUxLWhhYmVyLTE2MDQwNjY?hl=tr&gl=TR&ceid=TR%3Atr
17,ABD’de deprem korkusu: ‘Türkiye’dekinin aynısı olabilir’,news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci8yMDIzL2R1bnlhL2FiZGRlLWRlcHJlbS1rb3JrdXN1LXR1cmtpeWVkZWtpbmluLWF5bmlzaS1vbGFiaWxpci03NTkzNzk2L9IBZGh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci8yMDIzL2R1bnlhL2FiZGRlLWRlcHJlbS1rb3JrdXN1LXR1cmtpeWVkZWtpbmluLWF5bmlzaS1vbGFiaWxpci03NTkzNzk2L2FtcC8?hl=tr&gl=TR&ceid=TR%3Atr
18,DEPREM SON DAKİKA: Kahramanmaraş deprem ölü sayısı açıklandı! AFAD açıklaması ile depremde vefat sayısı kaç oldu?,news.google.com/./articles/CBMihwFodHRwczovL3d3dy5zYWJhaC5jb20udHIvZ2FsZXJpL3lhc2FtL2RlcHJlbS1zb24tZGFraWthLWthaHJhbWFubWFyYXMtZGVwcmVtLW9sdS1zYXlpc2ktYWNpa2xhbmRpLWRlcHJlbS12ZWZhdC1zYXlpc2kta2FjLWthYy1raXNpLW9sZHXSAYkBaHR0cHM6Ly9tLnNhYmFoLmNvbS50ci9nYWxlcmkveWFzYW0vZGVwcmVtLXNvbi1kYWtpa2Eta2FocmFtYW5tYXJhcy1kZXByZW0tb2x1LXNheWlzaS1hY2lrbGFuZGktZGVwcmVtLXZlZmF0LXNheWlzaS1rYWMta2FjLWtpc2ktb2xkdS9hbXA?hl=tr&gl=TR&ceid=TR%3Atr
19,Bakan Vahit Kirişci açıklama yaparken deprem oldu,news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL3R1cmtpeWUvYmFrYW4tdmFoaXQta2lyaXNjaS1hY2lrbGFtYS15YXBhcmtlbi1kZXByZW0tb2xkdS0yMDUyNDc50gFjaHR0cHM6Ly93d3cuY3VtaHVyaXlldC5jb20udHIvYW1wL3R1cmtpeWUvYmFrYW4tdmFoaXQta2lyaXNjaS1hY2lrbGFtYS15YXBhcmtlbi1kZXByZW0tb2xkdS0yMDUyNDc5?hl=tr&gl=TR&ceid=TR%3Atr
20,Deprem şiddeti skalası 12'ye kadar.... Maraş 11'i gördü,news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3Lm1lbXVybGFyLm5ldC9oYWJlci8xMDU2MDgxL2RlcHJlbS1zaWRkZXRpLXNrYWxhc2ktMTIteWUta2FkYXItbWFyYXMtMTEtaS1nb3JkdS5odG1s0gFlaHR0cHM6Ly93d3cubWVtdXJsYXIubmV0L2hhYmVyLzEwNTYwODEvZGVwcmVtLXNpZGRldGktc2thbGFzaS0xMi15ZS1rYWRhci1tYXJhcy0xMS1pLWdvcmR1Lmh0bWw_YW1wPTE?hl=tr&gl=TR&ceid=TR%3Atr
21,Hatay'da 5.1 büyüklüğünde deprem,news.google.com/./articles/CBMiOmh0dHBzOi8vaGFsa3R2LmNvbS50ci9ndW5kZW0vaGF0YXlkYS01LTFsaWstZGVwcmVtLTcxOTUyOGjSAUZodHRwczovL2hhbGt0di5jb20udHIvc2VydmljZS9hbXAvZ3VuZGVtL2hhdGF5ZGEtNS0xbGlrLWRlcHJlbS03MTk1Mjho?hl=tr&gl=TR&ceid=TR%3Atr
22,"DEPREM SON DAKİKA ÖLÜ VE YARALI SAYISI | Kahramanmaraş depreminde kaç kişi öldü, kaç kişi yaralandı ve kaç...",news.google.com/./articles/CBMiogFodHRwczovL3d3dy5oYWJlcnR1cmsuY29tL2RlcHJlbS1zb24tZGFraWthLW9sdS12ZS15YXJhbGktc2F5aXNpLTE2LXN1YmF0LTIwMjMta2FocmFtYW5tYXJhcy1kZXByZW1pbmRlLWthYy1raXNpLW9sZHUta2FjLWtpc2kteWFyYWxhbmRpLXZlLWthYy1iaW5hLWNva3R1LTM1NjYwNzTSAaQBaHR0cHM6Ly9tLmhhYmVydHVyay5jb20vZGVwcmVtLXNvbi1kYWtpa2Etb2x1LXZlLXlhcmFsaS1zYXlpc2ktMTYtc3ViYXQtMjAyMy1rYWhyYW1hbm1hcmFzLWRlcHJlbWluZGUta2FjLWtpc2ktb2xkdS1rYWMta2lzaS15YXJhbGFuZGktdmUta2FjLWJpbmEtY29rdHUtMzU2NjA3NC1hbXA?hl=tr&gl=TR&ceid=TR%3Atr
23,Kahramanmaraş'taki depremin ilk anları polis telsizinde: Anonslar felaketin büyüklüğünü gösterdi,news.google.com/./articles/CBMiigFodHRwczovL3d3dy5odXJyaXlldC5jb20udHIvZ3VuZGVtL2thaHJhbWFubWFyYXN0YWtpLWRlcHJlbWluLWlsay1hbmxhcmktcG9saXMtdGVsc2l6aW5kZS1hbm9uc2xhci1mZWxha2V0aW4tYnV5dWtsdWd1bnUtZ29zdGVyZGktNDIyMjA5OTLSAY4BaHR0cHM6Ly93d3cuaHVycml5ZXQuY29tLnRyL2FtcC9ndW5kZW0va2FocmFtYW5tYXJhc3Rha2ktZGVwcmVtaW4taWxrLWFubGFyaS1wb2xpcy10ZWxzaXppbmRlLWFub25zbGFyLWZlbGFrZXRpbi1idXl1a2x1Z3VudS1nb3N0ZXJkaS00MjIyMDk5Mg?hl=tr&gl=TR&ceid=TR%3Atr
24,Kahramanmaraş’taki deprem anı güvenlik kamerasında,news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LnNvemN1LmNvbS50ci8yMDIzL2d1bmRlbS9rYWhyYW1hbm1hcmFzdGFraS1kZXByZW0tYW5pLWd1dmVubGlrLWthbWVyYXNpbmRhLTc1OTI4Mzgv0gFjaHR0cHM6Ly93d3cuc296Y3UuY29tLnRyLzIwMjMvZ3VuZGVtL2thaHJhbWFubWFyYXN0YWtpLWRlcHJlbS1hbmktZ3V2ZW5saWsta2FtZXJhc2luZGEtNzU5MjgzOC9hbXAv?hl=tr&gl=TR&ceid=TR%3Atr
25,Hatay'da 5.1 büyüklüğünde deprem!,news.google.com/./articles/CBMiRGh0dHBzOi8vd3d3LmJpcmd1bi5uZXQvaGFiZXIvaGF0YXktZGEtNS0xLWJ1eXVrbHVndW5kZS1kZXByZW0tNDIxNzI30gFIaHR0cHM6Ly93d3cuYmlyZ3VuLm5ldC9hbXAvaGFiZXIvaGF0YXktZGEtNS0xLWJ1eXVrbHVndW5kZS1kZXByZW0tNDIxNzI3?hl=tr&gl=TR&ceid=TR%3Atr
26,Son Dakika: Van'da 4 büyüklüğünde deprem,news.google.com/./articles/CBMiVGh0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL3R1cmtpeWUvc29uLWRha2lrYS12YW5kYS00LWJ1eXVrbHVndW5kZS1kZXByZW0tMjA1MjM1M9IBWGh0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL2FtcC90dXJraXllL3Nvbi1kYWtpa2EtdmFuZGEtNC1idXl1a2x1Z3VuZGUtZGVwcmVtLTIwNTIzNTM?hl=tr&gl=TR&ceid=TR%3Atr
27,Deprem bölgesinden mucize kurtuluşlar,news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3Lm50di5jb20udHIvZ2FsZXJpL3R1cmtpeWUvZGVwcmVtLWJvbGdlc2luZGVuLW11Y2l6ZS1rdXJ0dWx1c2xhcixFTnU4ZnlZSURrYWVSSUktV1VfMTVB0gFmaHR0cHM6Ly93d3cubnR2LmNvbS50ci9hbXAvZ2FsZXJpL3R1cmtpeWUvZGVwcmVtLWJvbGdlc2luZGVuLW11Y2l6ZS1rdXJ0dWx1c2xhcixFTnU4ZnlZSURrYWVSSUktV1VfMTVB?hl=tr&gl=TR&ceid=TR%3Atr
